x,y
0.078738138,-0.668378094
0.066739057,-0.65561183
0.056289037,-0.651573115
0.045942917,-0.649376838
0.036131542,-0.651999623
0.026973366,-0.663451885
0.017511229,-0.675773154
0.007647591,-0.683957261
-0.00264968,-0.693994947
-0.012935433,-0.707881827
-0.023815634,-0.73361356
-0.034832066,-0.725163942
-0.045534244,-0.709540463
-0.056080406,-0.702765939
-0.066521786,-0.696831999
-0.07660429,-0.690765353
-0.086829514,-0.685522877
-0.097006474,-0.682136906
-0.107412122,-0.68057597
-0.118647529,-0.683782693
-0.129818396,-0.686839272
-0.141885588,-0.691595574
-0.155953401,-0.708027945
